Published,Group,Headline,Link,Website,Authors,Pinterest,LinkedIn,Twitter Influencer Shares,Total Facebook,Likes,Shares,Comments,Total Interactions
2018-04-20T07:47:50+01:00,Telkom,Kegiatan CSR Telkom Dinilai Efektif dan Berdampak Positif - Tribunnews.com,http://www.tribunnews.com/bisnis/2018/04/20/kegiatan-csr-telkom-dinilai-efektif-dan-berdampak-positif,tribunnews.com,,0,0,0,0,0,0,0,0
2018-04-25T08:17:02+01:00,Telkom,FSP BUMN Sesalkan Isu Sara Dilontarkan ke Telkom,https://ekonomi.inilah.com/read/detail/2451832/fsp-bumn-sesalkan-isu-sara-dilontarkan-ke-telkom/,ekonomi.inilah.com,,0,0,0,0,0,0,0,0
2018-04-25T08:52:22+01:00,Telkom,FSP BUMN Sesalkan Isu Sara Dilontarkan ke Telkom – Sumedang Media,https://warta.sumedang.info/ekonomi-bisnis/80046-fsp-bumn-sesalkan-isu-sara-dilontarkan-ke-telkom/,warta.sumedang.info,,0,0,0,0,0,0,0,0
2018-04-05T10:53:01+01:00,Gudang Garam,Siapa Bakal Kelola Bandara Kediri yang Dibangun Gudang Garam?,https://www.liputan6.com/bisnis/read/3428882/siapa-bakal-kelola-bandara-kediri-yang-dibangun-gudang-garam,liputan6.com,,0,0,0,5,3,2,0,5
2018-04-05T23:45:53+01:00,Gudang Garam,Siapa Bakal Kelola Bandara Kediri yang Dibangun Gudang Garam?,https://m.liputan6.com/bisnis/read/3428882/siapa-bakal-kelola-bandara-kediri-yang-dibangun-gudang-garam,m.liputan6.com,,0,0,0,0,0,0,0,0
2018-02-21T05:54:44Z,Adaro,"PT. Adaro Diminta Perhatikan Pemulihan Lingkungan, CSR dan PLTU",http://www.dpr.go.id/berita/detail/id/19621,dpr.go.id,Setjen DPR RI,0,0,2,15,0,0,0,17
2018-04-12T03:08:55+01:00,Adaro,Adaro Tambah Dana CSR untuk Dorong Pertumbuhan | Republika Online,http://republika.co.id/share/p71vag377,republika.co.id,,0,0,2,1,0,1,0,3
2018-07-20T05:45:42+01:00,Sampoerna,Sampoerna wins international award for clean water program,http://www.thejakartapost.com/adv/2018/07/20/sampoerna-wins-international-award-for-clean-water-program.html,thejakartapost.com,The Jakarta Post,0,0,5,0,0,0,0,5
2018-06-11T12:27:33+01:00,Sampoerna,"Dukung Pencapaian Tujuan Nawacita di Indonesia, Sampoerna Bangun Akses Air Bersih di Buleleng",http://pressrelease.id/release/dukung-pencapaian-tujuan-nawacita-di-indonesia-sampoerna-bangun-akses-air-bersih-di-buleleng,pressrelease.id,,0,0,1,0,0,0,0,1
2018-05-13T17:51:45+01:00,Sampoerna,Sampoerna Raih 3 Penghargaan di Ajang CSR Global Award 2018 - Kompas.com,https://biz.kompas.com/read/2018/05/13/234632928/sampoerna-raih-3-penghargaan-di-ajang-csr-global-award-2018,biz.kompas.com,,0,0,0,0,0,0,0,0
2018-04-15T21:15:51+01:00,Sampoerna,Sampoerna Agro Tanggulangi Kemiskinan di Sumsel,http://mediaindonesia.com/read/detail/155286-sampoerna-agro-tanggulangi-kemiskinan-di-sumsel,mediaindonesia.com,,0,0,0,0,0,0,0,0
