Published,Group,Headline,Link,Website,Authors,Pinterest,LinkedIn,Twitter Influencer Shares,Total Facebook,Likes,Shares,Comments,Total Interactions
2020-11-26T11:50:32Z,BCA,"Bank BCA Borong Penghargaan Environmental, Social & Governance Award | Finansial - Bisnis.com",https://finansial.bisnis.com/read/20201126/90/1323047/bank-bca-borong-penghargaan-environmental-social-governance-award,finansial.bisnis.com,,0,0,3,2,0,2,0,5
2020-11-25T08:51:15Z,BCA,"BCA Raih Lima Penghargaan di Ajang Environmental, Social & Governance (ESG) Award 2020 ~ Marketing.co.id",https://marketing.co.id/bca-raih-lima-penghargaan-di-ajang-environmental-social-governance-esg-award-2020/,marketing.co.id,,0,0,0,0,0,0,0,0
2020-11-18T05:04:02Z,BRI,TOP! Bank BRI Borong 14 Penghargaan ESG Awards 2020,https://m.jpnn.com/news/top-bank-bri-borong-14-penghargaan-esg-awards-2020,m.jpnn.com,,0,0,1,1,0,1,0,2
2020-11-18T05:09:33Z,BRI,Top! BRI Borong 14 Penghargaan ESG Awards 2020,https://www.cnbcindonesia.com/market/20201118115902-17-202699/top-bri-borong-14-penghargaan-esg-awards-2020,cnbcindonesia.com,,0,0,2,0,0,0,0,2
2020-11-18T05:04:58Z,BRI,TOP! Bank BRI Borong 14 Penghargaan ESG Awards 2020,https://www.jpnn.com/news/top-bank-bri-borong-14-penghargaan-esg-awards-2020,jpnn.com,,0,0,0,0,0,0,0,0
2020-11-19T05:47:53Z,BRI,"Focusing on sustainability, BRI wins 14 ESG Awards",https://www.thejakartapost.com/adv/2020/11/19/focusing-on-sustainability-bri-wins-14-esg-awards.html,thejakartapost.com,The Jakarta Post,0,0,0,0,0,0,0,0
