Published,Group,Headline,Link,Website,Authors,Pinterest,LinkedIn,Twitter Influencer Shares,Total Facebook,Likes,Shares,Comments,Total Interactions
2021-07-15T17:22:23+01:00,BRI,Asuransi Ikut Dorong Kemajuan Industri Otomotif Ramah Lingkungan,https://mediaindonesia.com/otomotif/418917/asuransi-ikut-dorong-kemajuan-industri-otomotif-ramah-lingkungan,mediaindonesia.com,Kamis 15 Juli 2021,0,0,1,0,0,0,0,1
2021-10-23T09:10:18+01:00,BRI,RI Salurkan Lebih dari Rp588 Triliun Kredit Berbasis ESG - Rakyat Bengkulu Online,https://rakyatbengkulu.com/2021/10/23/ri-salurkan-lebih-dari-rp588-triliun-kredit-berbasis-esg/,rakyatbengkulu.com,,0,0,0,0,0,0,0,0
2021-10-23T08:27:00+01:00,BRI,BRI Sudah Salurkan Lebih dari Rp588 Triliun Kredit Berbasis ESG,https://www.goriau.com/berita/baca/bri-sudah-salurkan-lebih-dari-rp588-triliun-kredit-berbasis-esg.html?https%3A%2F%2Fanalytics.google.com%2Fanalytics%2Fweb%2F,goriau.com,,0,0,0,0,0,0,0,0
2021-02-25T13:46:31Z,BRI,BRI Salurkan Kredit Rp 562 Triliun untuk Aktivitas Bisnis Berkelanjutan,https://www.msn.com/id-id/berita/other/bri-salurkan-kredit-rp-562-triliun-untuk-aktivitas-bisnis-berkelanjutan/ar-BB1e0vRL,msn.com,,0,0,0,0,0,0,0,0
2021-10-23T10:22:48+01:00,BRI,BRI Salurkan Lebih dari Rp588 Triliun Kredit Berbasis ESG,https://analisadaily.com:443/berita/baca/2021/10/23/1023392/bri-salurkan-lebih-dari-rp588-triliun-kredit-berbasis-esg/,analisadaily.com,,0,0,0,0,0,0,0,0
2021-10-23T11:25:06+01:00,BRI,BRI Salurkan Kredit 500 Triliun Rupiah Berbasis ESG,https://ciprit.com/artikel/nXXjvLq,ciprit.com,,0,0,0,0,0,0,0,0
2021-10-23T11:25:07+01:00,BRI,BRI Salurkan Kredit 500 Triliun Rupiah Berbasis ESG,https://siapgrak.com/artikel/nXXjvLq,siapgrak.com,,0,0,0,0,0,0,0,0
2021-10-23T19:01:19+01:00,BRI,BRI Salurkan Lebih dari Rp588 Triliun Kredit Berbasis ESG,https://ciprit.com/artikel/rmmG73k,ciprit.com,,0,0,0,0,0,0,0,0
2021-10-23T08:57:13+01:00,BRI,"Wujudkan Tata Kelola ESG, BRI Salurkan Lebih dari Rp588 Triliun Kredit Berbasis ESG | Bisnis Bali",http://bisnisbali.com/wujudkan-tata-kelola-esg-bri-salurkan-lebih-dari-rp588-triliun-kredit-berbasis-esg/,bisnisbali.com,,0,0,0,0,0,0,0,0
2021-10-23T08:09:32+01:00,BRI,BRI Salurkan Rp588 Triliun Kredit Berbasis ESG | Infobanknews,https://infobanknews.com/bri-salurkan-rp588-triliun-kredit-berbasis-esg/,infobanknews.com,,0,0,0,0,0,0,0,0
2021-04-14T14:07:22+01:00,BRI,"Lewat Festival hingga Kompetisi, Cara BRI Ajak Pekerjanya Peduli Terhadap Isu Lingkungan, Sosial dan Tata Kelola - suaramerdeka.com",https://www.suaramerdeka.com/news/ekonomi-dan-bisnis/260742-lewat-festival-hingga-kompetisi-cara-bri-ajak-pekerjanya-peduli-terhadap-isu-lingkungan-sosial-dan-tata-kelola,suaramerdeka.com,,0,0,0,0,0,0,0,0
2021-10-23T08:07:51+01:00,BRI,"Wujudkan Tata Kelola ESG, BRI Salurkan Lebih dari Rp588 Triliun Kredit Berbasis ESG - jabarekspres.com",https://jabarekspres.com/berita/2021/10/23/wujudkan-tata-kelola-esg-bri-salurkan-lebih-dari-rp588-triliun-kredit-berbasis-esg/,jabarekspres.com,,0,0,0,0,0,0,0,0
2021-10-23T19:01:19+01:00,BRI,BRI Salurkan Lebih dari Rp588 Triliun Kredit Berbasis ESG,https://siapgrak.com/artikel/rmmG73k,siapgrak.com,,0,0,0,0,0,0,0,0
2021-10-23T09:10:18+01:00,BRI,BRI Salurkan Lebih dari Rp588 Triliun Kredit Berbasis ESG - Rakyat Bengkulu Online,https://rakyatbengkulu.com/2021/10/23/bri-salurkan-lebih-dari-rp588-triliun-kredit-berbasis-esg/,rakyatbengkulu.com,,0,0,0,0,0,0,0,0
2021-10-23T08:11:37+01:00,BRI,Kredit Berbasis ESG Disalurkan BRI Lampaui Rp 588 Triliun | BALIPOST.com,https://www.balipost.com/news/2021/10/23/223394/Kredit-Berbasis-ESG-Disalurkan-BRI...html,balipost.com,,0,0,0,0,0,0,0,0
2021-10-27T12:35:27+01:00,BRI,"Investasi ESG di BRI Capai Rp 19,3 Triliun per September 2021",https://www.beritasatu.com/ekonomi/846241/investasi-esg-di-bri-capai-rp-193-triliun-per-september-2021,beritasatu.com,,0,0,0,0,0,0,0,0
2021-04-14T12:40:15+01:00,BRI,"BRI Ajak Pekerjanya Peduli Isu Lingkungan, Sosial dan Tata Kelola",https://bisnis.tempo.co/read/1452595/bri-ajak-pekerjanya-peduli-isu-lingkungan-sosial-dan-tata-kelola,bisnis.tempo.co,,0,0,0,0,0,0,0,0
2021-10-23T09:11:18+01:00,BRI,"Wujudkan Tata Kelola ESG, BRI Salurkan Lebih Dari Rp 588 Triliun Kredit Berbasis ESG - Indoposco.id",https://indoposco.id/wujudkan-tata-kelola-esg-bri-salurkan-lebih-dari-rp-588-triliun-kredit-berbasis-esg/,indoposco.id,,0,0,0,0,0,0,0,0
2021-10-23T11:18:49+01:00,BRI,BRI Salurkan Rp588 T Lebih Kredit Berbasis ESG,https://radarlampung.co.id/bri-salurkan-rp588-t-lebih-kredit-berbasis-esg/,radarlampung.co.id,,0,0,0,0,0,0,0,0
